# ══════════════════════════════════════════════════════════════════════════════
# adv0102 — The Crystal of Light · Chapter 02: First Mission
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	zh	ja	de	es

@chapter	02	First Mission	第一个任务	最初のミッション	Erste Mission	Primera misión	N5
@artifact	🕐	Bronze Clock	Present · Past · Negative · Verbs

@story_intro	The first mission has arrived from the guild. You must go to a nearby village. Something is happening there.	公会的第一个任务来了。你必须去附近的村子。那里发生了一些事情。	ギルドから最初のミッションが来た。近くの村に行かなければならない。何かが村で起きている。	Der erste Auftrag der Gilde ist angekommen. Du musst in ein nahes Dorf gehen. Dort passiert etwas.	Ha llegado la primera misión del gremio. Debes ir a un pueblo cercano. Allí está pasando algo.
@passage_line	Walk south. Then walk east at the big tree.	向南走。然后在大树处向东走。	南へ歩いてください。それから大きな木のところで東へ歩いてください。	Geht südwärts. Dann geht an dem großen Baum ostwärts.	Camina hacia el sur. Luego camina hacia el este en el árbol grande.
@passage_line	Talk to the people of the village.	和村里的人们交谈。	村の人たちと話してください。	Sprecht mit den Menschen des Dorfes.	Habla con la gente del pueblo.
@passage_line	Listen to their problems.	听他们的问题。	彼らの悩みを聞いてください。	Hört ihre Probleme.	Escucha sus problemas.
@passage_line	Help them if you can.	如果可以的话，帮助他们。	できれば助けてください。	Helft ihnen, wenn ihr könnt.	Ayúdales si puedes.
@passage_line	Please come back before dark.	请在天黑前回来。	暗くなる前に帰ってきてください。	Bitte kommt vor der Dunkelheit zurück.	Por favor, volved antes de que oscurezca.
@passage_line	Be safe. I am counting on you.	保重。我在依靠你们。	気をつけてください。頼んでいます。	Seid sicher. Ich zähle auf euch.	Estad seguros. Cuento con vosotros.
@passage_line	Leon	里昂	レオン	Leon	León


# ── Section 2: Emma's Travel Diary ───────────────────────────────────────────
@section	02	Emma's Travel Diary	艾玛的旅行日记	エマの旅日記	Emmas Reisetagebuch	El diario de viaje de Emma
@vocab	あるく	みち　みぎ　ひだり　まっすぐ　きた　みなみ　ひがし　にし　ちかい　とおい　むら　まち

@passage	02	Emma's Travel Diary	艾玛的旅行日记	エマの旅日記	Emmas Reisetagebuch	El diario de viaje de Emma

@passage_line	Today is our first mission day!	今天是我们第一个任务日！	今日は最初のミッションの日です！	Heute ist unser erster Missionstag!	¡Hoy es nuestro primer día de misión!
@passage_line	I got up early. I ate breakfast with Alex.	我很早起床了。我和阿历克斯一起吃了早饭。	早く起きました。アレックスと一緒に朝ごはんを食べました。	Ich stand früh auf. Ich frühstückte mit Alex.	Me levanté temprano. Desayuné con Alex.
@passage_line	We left the guild at eight in the morning.	我们早上八点离开了公会。	朝八時にギルドを出発しました。	Wir verließen die Gilde um acht Uhr morgens.	Salimos del gremio a las ocho de la mañana.
@passage_line	Leon waved to us. He said "Be safe!"	里昂向我们挥手。他说"保重！"	レオンさんが手を振ってくれました。「気をつけて！」と言いました。	Leon winkte uns zu. Er sagte „Seid sicher!"	León nos saludó con la mano. Dijo «¡Estad seguros!»
@passage_line	We walked south from the guild.	我们从公会向南走。	ギルドから南へ歩きました。	Wir gingen südlich von der Gilde.	Caminamos hacia el sur desde el gremio.
@passage_line	The road was quiet. There were not many people.	路上很安静。人不多。	道は静かでした。人があまりいませんでした。	Der Weg war ruhig. Es gab nicht viele Menschen.	El camino estaba tranquilo. No había mucha gente.
@passage_line	We saw a big tree on the left. Then we turned east.	我们看到左边有一棵大树。然后我们向东转。	左に大きな木が見えました。それから東へ曲がりました。	Wir sahen einen großen Baum auf der linken Seite. Dann bogen wir nach Osten ab.	Vimos un árbol grande a la izquierda. Luego giramos hacia el este.
@passage_line	After one hour, I was a little tired.	一个小时后，我有点累了。	一時間後、少し疲れました。	Nach einer Stunde war ich ein bisschen müde.	Después de una hora, estaba un poco cansada.
@passage_line	But Alex was walking fast. I tried to walk fast too.	但阿历克斯走得很快。我也试着走快一点。	でも、アレックスは速く歩いていました。わたしも速く歩こうとしました。	Aber Alex lief schnell. Ich versuchte auch, schnell zu laufen.	Pero Alex caminaba rápido. Yo también intenté caminar rápido.
@passage_line	Then we saw the village. It was small and quiet.	然后我们看到了村子。它又小又安静。	それから村が見えました。小さくて静かでした。	Dann sahen wir das Dorf. Es war klein und ruhig.	Entonces vimos el pueblo. Era pequeño y tranquilo.
@passage_line	We arrived at two hours. Good!	我们两个小时就到了。太好了！	二時間で着きました。よかった！	Wir kamen in zwei Stunden an. Gut!	Llegamos en dos horas. ¡Bien!


# ── Section 3: The Village Signpost ──────────────────────────────────────────
@section	03	The Village Signpost	村子的路标	村の道標	Das Dorfwegzeichen	El letrero del pueblo
@vocab	むら　かわ　みず　やま　き　みち　はし　いえ　ひと　なんにん

@passage	03	Signs in River Village	河边村的标志	川の村の標識	Schilder in Flussdorf	Letreros en el Pueblo del Río

@passage_line	WELCOME TO RIVER VILLAGE	欢迎来到河边村	川の村へようこそ	WILLKOMMEN IN FLUSSDORF	BIENVENIDO AL PUEBLO DEL RÍO
@passage_line	Population: thirty people	人口：三十人	人口：三十人	Einwohnerzahl: dreißig Personen	Población: treinta personas
@passage_line	River Village is a small and quiet village.	河边村是一个小而安静的村庄。	川の村は小さくて静かな村です。	Flussdorf ist ein kleines und ruhiges Dorf.	El Pueblo del Río es un pueblo pequeño y tranquilo.
@passage_line	The river is to the east.	河流在东边。	川は東にあります。	Der Fluss liegt im Osten.	El río está al este.
@passage_line	The forest is to the north.	森林在北边。	森は北にあります。	Der Wald liegt im Norden.	El bosque está al norte.
@passage_line	---	---	---	---	---
@passage_line	The village has:	这个村子有：	村には：	Das Dorf hat:	El pueblo tiene:
@passage_line	One well	一口水井	井戸が一つ	Einen Brunnen	Un pozo
@passage_line	One inn	一家旅馆	宿屋が一軒	Eine Herberge	Una posada
@passage_line	One shop	一家商店	お店が一軒	Einen Laden	Una tienda
@passage_line	Ten houses	十栋房子	家が十軒	Zehn Häuser	Diez casas
@passage_line	---	---	---	---	---
@passage_line	Please do not go into the forest alone.	请不要独自进入森林。	一人で森に入らないでください。	Bitte geht nicht alleine in den Wald.	Por favor, no entres al bosque solo.
@passage_line	The forest is dangerous at night.	森林在晚上很危险。	夜の森は危ないです。	Der Wald ist nachts gefährlich.	El bosque es peligroso de noche.


# ── Section 4: A Note Found in the Forest ────────────────────────────────────
@section	04	A Note Found in the Forest	在森林里找到的便条	森で見つけたメモ	Ein im Wald gefundener Zettel	Una nota encontrada en el bosque
@vocab	こわい　おとうさん　おかあさん　たすける　かえる　まつ　ひとり　なく　さむい　おなか すく

@passage	04	A Note Found in the Forest	在森林里找到的便条	森で見つけたメモ	Ein im Wald gefundener Zettel	Una nota encontrada en el bosque

@passage_line	This note was on the ground.	这张便条在地上。	このメモは地面にありました。	Dieser Zettel lag auf dem Boden.	Esta nota estaba en el suelo.
@passage_line	The writing is small. It is hard to read.	字迹很小。很难读。	文字が小さいです。読みにくいです。	Die Schrift ist klein. Es ist schwer zu lesen.	La letra es pequeña. Es difícil de leer.
@passage_line	---	---	---	---	---
@passage_line	Father and Mother,	爸爸妈妈，	おとうさん、おかあさんへ	Vater und Mutter,	Papá y mamá,
@passage_line	I am in the forest.	我在森林里。	わたしは森にいます。	Ich bin im Wald.	Estoy en el bosque.
@passage_line	I came here yesterday to look at the river.	我昨天来这里看河流的。	昨日、川を見に来ました。	Ich kam gestern hierher, um den Fluss anzuschauen.	Vine aquí ayer para ver el río.
@passage_line	But now I do not know where I am.	但现在我不知道我在哪里。	でも今、どこにいるかわかりません。	Aber jetzt weiß ich nicht, wo ich bin.	Pero ahora no sé dónde estoy.
@passage_line	I am a little scared.	我有点害怕。	少し怖いです。	Ich habe ein bisschen Angst.	Tengo un poco de miedo.
@passage_line	I am also hungry.	我也饿了。	お腹もすいています。	Ich bin auch hungrig.	También tengo hambre.
@passage_line	I found a small cave. I am sleeping in the cave.	我找到了一个小山洞。我在山洞里睡觉。	小さな洞窟を見つけました。洞窟の中で寝ています。	Ich fand eine kleine Höhle. Ich schlafe in der Höhle.	Encontré una pequeña cueva. Estoy durmiendo en la cueva.
@passage_line	Please come and find me.	请来找我。	来て、見つけてください。	Bitte kommt und findet mich.	Por favor, venid a buscarme.
@passage_line	I am waiting here.	我在这里等。	ここで待っています。	Ich warte hier.	Estoy esperando aquí.
@passage_line	Tom	汤姆	トム	Tom	Tom


# ── Section 5: Tom's Diary ────────────────────────────────────────────────────
@section	05	Tom's Diary	汤姆的日记	トムの日記	Toms Tagebuch	El diario de Tom
@vocab	もり　むし　とり　はな　みず　かわ　さかな　おおきい　ちいさい　すごい　こわい　たのしい

@passage	05	Tom's Diary	汤姆的日记	トムの日記	Toms Tagebuch	El diario de Tom

@passage_line	My name is Tom. I am twelve years old.	我叫汤姆。我十二岁。	わたしの名前はトムです。十二歳です。	Mein Name ist Tom. Ich bin zwölf Jahre alt.	Me llamo Tom. Tengo doce años.
@passage_line	I live in River Village. It is a small village.	我住在河边村。它是个小村庄。	川の村に住んでいます。小さな村です。	Ich lebe in Flussdorf. Es ist ein kleines Dorf.	Vivo en el Pueblo del Río. Es un pueblo pequeño.
@passage_line	I like the forest. There are many interesting things there.	我喜欢森林。那里有很多有趣的东西。	森が好きです。おもしろいものがたくさんあります。	Ich mag den Wald. Dort gibt es viele interessante Dinge.	Me gusta el bosque. Hay muchas cosas interesantes allí.
@passage_line	Yesterday I saw a big bird in the forest.	昨天我在森林里看到了一只大鸟。	昨日、森で大きな鳥を見ました。	Gestern sah ich einen großen Vogel im Wald.	Ayer vi un pájaro grande en el bosque.
@passage_line	It was white. It was very beautiful.	它是白色的。非常漂亮。	白くて、とてもきれいでした。	Es war weiß. Es war sehr schön.	Era blanco. Era muy hermoso.
@passage_line	I wanted to follow it. So I went deeper into the forest.	我想跟着它。所以我走进了更深的森林。	追いかけたいと思いました。それで、森の奥に入りました。	Ich wollte ihm folgen. Also ging ich tiefer in den Wald.	Quería seguirlo. Así que me adentré más en el bosque.
@passage_line	The bird was fast. I ran after it.	鸟飞得很快。我追着它跑。	鳥は速かったです。追いかけました。	Der Vogel war schnell. Ich rannte ihm nach.	El pájaro era rápido. Corrí tras él.
@passage_line	Then the bird went away. I stopped.	然后鸟飞走了。我停了下来。	それから鳥はいなくなりました。止まりました。	Dann flog der Vogel weg. Ich hielt an.	Entonces el pájaro se fue. Me detuve.
@passage_line	I looked around. I did not know where I was.	我环顾四周。我不知道我在哪里。	周りを見ました。どこにいるかわかりませんでした。	Ich schaute mich um. Ich wusste nicht, wo ich war.	Miré a mi alrededor. No sabía dónde estaba.
@passage_line	It was getting dark. I was scared.	天色渐暗。我很害怕。	暗くなってきました。怖かったです。	Es wurde dunkel. Ich hatte Angst.	Se estaba haciendo oscuro. Tenía miedo.
@passage_line	I found a cave and went inside. It was cold but safe.	我找到了一个山洞，走了进去。很冷但很安全。	洞窟を見つけて、中に入りました。寒いですが、安全です。	Ich fand eine Höhle und ging hinein. Es war kalt, aber sicher.	Encontré una cueva y entré. Hacía frío pero era seguro.
@passage_line	I hope my mother and father are not too worried.	我希望我的父母不要太担心。	お父さんとお母さんが心配しすぎていないといいです。	Ich hoffe, meine Mutter und mein Vater machen sich nicht zu viele Sorgen.	Espero que mi madre y mi padre no estén demasiado preocupados.


# ── Dialogue 1: Walking to the Village ───────────────────────────────────────
@section	06	Walking to the Village	走向村子	村への道	Auf dem Weg zum Dorf	Camino al pueblo
@vocab	あるく　みち　みぎ　ひだり　まっすぐ　きた　みなみ　ひがし　にし　ちかい　とおい

adv010601-01	narrator		You walk south from the guild. The sun is warm.	你从公会向南走。阳光温暖。	ギルドから南へ歩いています。太陽があたたかいです。	Ihr geht südlich von der Gilde. Die Sonne ist warm.	Caminais hacia el sur desde el gremio. El sol está cálido.
adv010601-02	emma		It is a nice day today! I am happy.	今天天气真好！我很高兴。	今日はいい天気です！うれしいです。	Heute ist ein schöner Tag! Ich bin glücklich.	¡Hoy es un día bonito! Estoy contenta.
adv010601-03a	player		Yes. The sun is warm. I am happy too.	是的。阳光温暖。我也很高兴。	そうですね。太陽があたたかいです。わたしもうれしいです。	Ja. Die Sonne ist warm. Ich bin auch glücklich.	Sí. El sol está cálido. Yo también estoy contento.
adv010601-03b	player		Yes. But I am also a little nervous.	是的。但我也有点紧张。	そうですね。でも少し緊張しています。	Ja. Aber ich bin auch ein bisschen nervös.	Sí. Pero también estoy un poco nervioso.
adv010601-04	emma		Me too! But let us not worry. We walk together. That is good.	我也是！但我们别担心了。我们一起走。这很好。	わたしもです！でも心配しないようにしましょう。一緒に歩きます。それはいいです。	Ich auch! Aber lass uns nicht sorgen. Wir gehen zusammen. Das ist gut.	¡Yo también! Pero no nos preocupemos. Caminamos juntos. Eso es bueno.
adv010601-05	narrator		You walk for one hour. You see a big tree on the road.	你走了一个小时。你看到路上有一棵大树。	一時間歩きました。道に大きな木が見えます。	Ihr lauft eine Stunde. Ihr seht einen großen Baum auf dem Weg.	Caminais durante una hora. Veis un árbol grande en el camino.
adv010601-06	emma		Look! A big tree! The mission scroll says to turn east here.	看！一棵大树！任务卷轴说在这里向东转。	見て！大きな木！ミッションの巻物にここで東に曲がると書いてあります。	Schau! Ein großer Baum! Die Missionsrolle sagt, hier nach Osten abzubiegen.	¡Mira! ¡Un árbol grande! El pergamino de la misión dice que giremos hacia el este aquí.
adv010601-07	player		Yes. Let us turn here.	是的。我们在这里转。	そうですね。ここで曲がりましょう。	Ja. Lass uns hier abbiegen.	Sí. Giremos aquí.
adv010601-08	narrator		You walk east. After thirty minutes, you see a village.	你向东走。三十分钟后，你看到了一个村庄。	東へ歩きました。三十分後、村が見えます。	Ihr geht östlich. Nach dreißig Minuten seht ihr ein Dorf.	Caminais hacia el este. Después de treinta minutos, veis un pueblo.
adv010601-09	emma		Is that the village? It is small.	那是村庄吗？它很小。	あれが村ですか？小さいですね。	Ist das das Dorf? Es ist klein.	¿Es ese el pueblo? Es pequeño.
adv010601-10a	player		Yes, I think so. Let us go and see.	是的，我想是这样。我们去看看吧。	そうだと思います。行ってみましょう。	Ja, ich glaube schon. Lass uns gehen und schauen.	Sí, creo que sí. Vamos a ver.
adv010601-10b	player		I am not sure. Let us read the sign.	我不确定。我们读一下标志吧。	わかりません。標識を読みましょう。	Ich bin nicht sicher. Lass uns das Schild lesen.	No estoy seguro. Leamos el letrero.
adv010601-11	emma		Yes! The sign says "River Village." This is the right place!	是的！标志上写着"河边村"。这是正确的地方！	はい！標識に「川の村」と書いてあります。ここで合っています！	Ja! Das Schild sagt „Flussdorf". Das ist der richtige Ort!	¡Sí! El letrero dice «Pueblo del Río». ¡Este es el lugar correcto!
adv010601-12	player		Good. Let us go inside.	好。我们进去吧。	いいですね。中に入りましょう。	Gut. Lass uns hineingehen.	Bien. Entremos.
adv010601-13	narrator		You enter the village. It is very quiet. You do not see many people.	你进入村庄。非常安静。你看不到很多人。	村に入りました。とても静かです。人があまり見えません。	Ihr betretet das Dorf. Es ist sehr still. Ihr seht nicht viele Menschen.	Entráis al pueblo. Está muy tranquilo. No veis mucha gente.
adv010601-14	emma		It is very quiet here. Where are all the people?	这里很安静。所有人都在哪里？	とても静かですね。みんなどこにいますか？	Hier ist es sehr still. Wo sind alle Menschen?	Aquí está muy tranquilo. ¿Dónde están todas las personas?
adv010601-15	player		I do not know. Let us find someone to talk to.	我不知道。我们找个人说说话吧。	わかりません。話せる人を探しましょう。	Ich weiß es nicht. Lass uns jemanden zum Reden finden.	No lo sé. Busquemos a alguien con quien hablar.
adv010601-16	narrator		A woman comes out of a house. She looks worried.	一位女士从房子里走了出来。她看起来很担心。	女の人が家から出てきました。心配そうです。	Eine Frau kommt aus einem Haus. Sie sieht besorgt aus.	Una mujer sale de una casa. Parece preocupada.

adv010601-17q	question		Where is the forest?	森林在哪里？	森はどこにありますか？	Wo ist der Wald?	¿Dónde está el bosque?
adv010601-18a	option	correct	To the north.	在北边。	北にあります。	Im Norden.	Al norte.
adv010601-18b	option		To the south.	在南边。	南にあります。	Im Süden.	Al sur.
adv010601-18c	option		To the east.	在东边。	東にあります。	Im Osten.	Al este.


# ── Dialogue 2: Meeting the Mother ───────────────────────────────────────────
@section	07	Meeting the Mother	遇见母亲	母親との出会い	Die Mutter treffen	Conociendo a la madre
@vocab	むすこ　むすめ　おかあさん　おとうさん　こ　こども　しんぱい　たすける　みつける　かえる

adv010701-01	mother		Please help me! My son is not here!	请帮帮我！我的儿子不在这里！	助けてください！息子がいません！	Bitte helft mir! Mein Sohn ist nicht hier!	¡Por favor, ayudadme! ¡Mi hijo no está aquí!
adv010701-02	emma		Hello! Please do not worry. We are from the Adventurer Guild.	你好！请不要担心。我们来自冒险者公会。	こんにちは！心配しないでください。冒険者ギルドから来ました。	Hallo! Bitte machen Sie sich keine Sorgen. Wir sind von der Abenteurergilde.	¡Hola! Por favor, no se preocupe. Somos del gremio de aventureros.
adv010701-03	mother		Oh! Adventurers! Thank you for coming!	哦！冒险者！谢谢你们来！	あ！冒険者！来てくれてありがとう！	Oh! Abenteurer! Danke, dass ihr gekommen seid!	¡Oh! ¡Aventureros! ¡Gracias por venir!
adv010701-04	player		Please tell us. What happened?	请告诉我们。发生了什么？	話してください。何が起きましたか？	Bitte erzählt uns. Was ist passiert?	Por favor, cuéntenos. ¿Qué pasó?
adv010701-05	mother		My son is Tom. He is twelve years old.	我的儿子叫汤姆。他十二岁。	息子はトムです。十二歳です。	Mein Sohn ist Tom. Er ist zwölf Jahre alt.	Mi hijo es Tom. Tiene doce años.
adv010701-06	mother		Yesterday he went to the forest. He did not come home.	昨天他去了森林。他没有回家。	昨日、森に行きました。家に帰りませんでした。	Gestern ging er in den Wald. Er kam nicht nach Hause.	Ayer fue al bosque. No volvió a casa.
adv010701-07	mother		I waited and waited. But he did not come back.	我等啊等。但他没有回来。	ずっと待ちました。でも帰ってきませんでした。	Ich wartete und wartete. Aber er kam nicht zurück.	Esperé y esperé. Pero no volvió.
adv010701-08	emma		Is Tom a careful boy?	汤姆是个谨慎的孩子吗？	トムは注意深い子ですか？	Ist Tom ein vorsichtiger Junge?	¿Tom es un niño cuidadoso?
adv010701-09	mother		Yes, usually. But he likes the forest very much. Sometimes he forgets the time.	是的，通常是这样。但他非常喜欢森林。有时他会忘记时间。	はい、ふだんは。でも、森がとても好きです。時々、時間を忘れます。	Ja, normalerweise. Aber er mag den Wald sehr. Manchmal vergisst er die Zeit.	Sí, normalmente. Pero le gusta mucho el bosque. A veces olvida la hora.
adv010701-10	player		I understand. We will go and look for him.	我明白了。我们会去找他的。	わかりました。探しに行きます。	Ich verstehe. Wir werden gehen und ihn suchen.	Entiendo. Iremos a buscarlo.
adv010701-11	mother		Thank you! Oh, thank you so much!	谢谢！哦，非常感谢！	ありがとうございます！ほんとうにありがとうございます！	Danke! Oh, danke so sehr!	¡Gracias! ¡Oh, muchas gracias!
adv010701-12	emma		Do not worry. We will find Tom. Which part of the forest did he go to?	不要担心。我们会找到汤姆的。他去了森林的哪个部分？	心配しないでください。トムを見つけます。森のどこに行きましたか？	Machen Sie sich keine Sorgen. Wir werden Tom finden. In welchen Teil des Waldes ist er gegangen?	No se preocupe. Encontraremos a Tom. ¿A qué parte del bosque fue?
adv010701-13	mother		The north part. He likes the river there. He often goes to catch fish.	北边部分。他喜欢那里的河流。他经常去钓鱼。	北の方です。そこの川が好きです。魚を捕まえるためによく行きます。	Der nördliche Teil. Er mag den Fluss dort. Er geht oft hin, um Fische zu fangen.	La parte norte. Le gusta el río que hay allí. Suele ir a pescar.
adv010701-14	player		I see. We will go to the north.	我明白了。我们向北走。	わかりました。北へ行きます。	Ich verstehe. Wir gehen nach Norden.	Entiendo. Iremos al norte.
adv010701-15	mother		Please come back safely. Both of you.	请平安回来。你们两个都要。	無事に帰ってきてください。二人とも。	Bitte kommt sicher zurück. Ihr beide.	Por favor, volved sanos y salvos. Los dos.
adv010701-16	narrator		You go to the north. The forest is dark and quiet.	你们向北走。森林又黑暗又安静。	北へ行きました。森は暗くて静かです。	Ihr geht nach Norden. Der Wald ist dunkel und still.	Vais al norte. El bosque está oscuro y tranquilo.

adv010701-17q	question		Why did Tom go into the forest?	汤姆为什么进入了森林？	トムはなぜ森に入ったのですか？	Warum ging Tom in den Wald?	¿Por qué Tom entró al bosque?
adv010701-18a	option	correct	To catch fish.	去钓鱼。	魚を捕まえるためです。	Um Fische zu fangen.	Para pescar.
adv010701-18b	option		To find the crystal.	去找水晶。	クリスタルを見つけるためです。	Um das Kristall zu finden.	Para encontrar el cristal.
adv010701-18c	option		To sleep in the forest.	去森林睡觉。	森で寝るためです。	Um im Wald zu schlafen.	Para dormir en el bosque.


# ── Dialogue 3: In the Forest ─────────────────────────────────────────────────
@section	08	In the Forest	在森林里	森の中	Im Wald	En el bosque
@vocab	もり　き　くさ　みち　おと　きこえる　みえる　こわい　しずか　とり　むし　さがす

adv010801-01	narrator		You enter the forest. It is quiet. You can hear birds.	你进入森林。很安静。你能听到鸟叫声。	森に入りました。静かです。鳥の声が聞こえます。	Ihr betretet den Wald. Es ist still. Ihr könnt Vögel hören.	Entráis al bosque. Está tranquilo. Podéis escuchar los pájaros.
adv010801-02	emma		It is quiet here. Tom! Tom! Are you here?	这里很安静。汤姆！汤姆！你在这里吗？	静かですね。トム！トム！ここにいますか？	Hier ist es still. Tom! Tom! Bist du hier?	Aquí está tranquilo. ¡Tom! ¡Tom! ¿Estás aquí?
adv010801-03	narrator		No answer. You walk deeper into the forest.	没有回答。你们走进了更深的森林。	返事がありません。もっと奥に歩きます。	Keine Antwort. Ihr geht tiefer in den Wald.	No hay respuesta. Camináis más adentro del bosque.
adv010801-04	player		I cannot see well here. It is dark.	在这里我看不清楚。很黑。	ここはよく見えません。暗いです。	Ich kann hier nicht gut sehen. Es ist dunkel.	No puedo ver bien aquí. Está oscuro.
adv010801-05	emma		Yes. I am a little scared. But we must find Tom.	是的。我有点害怕。但我们必须找到汤姆。	そうですね。少し怖いです。でも、トムを見つけなければなりません。	Ja. Ich habe ein bisschen Angst. Aber wir müssen Tom finden.	Sí. Tengo un poco de miedo. Pero debemos encontrar a Tom.
adv010801-06	player		Yes. Tom is twelve. He must be very scared.	是的。汤姆十二岁。他一定非常害怕。	そうですね。トムは十二歳です。きっととても怖いでしょう。	Ja. Tom ist zwölf. Er muss sehr Angst haben.	Sí. Tom tiene doce años. Debe estar muy asustado.
adv010801-07	narrator		You walk for twenty minutes. Then you see something on the ground.	你走了二十分钟。然后你在地上看到了什么东西。	二十分歩きました。それから地面に何かが見えます。	Ihr lauft zwanzig Minuten. Dann seht ihr etwas auf dem Boden.	Caminais durante veinte minutos. Entonces veis algo en el suelo.
adv010801-08	emma		Look! There is something on the ground. Is that a note?	看！地上有什么东西。那是一张便条吗？	見て！地面に何かあります。メモですか？	Schau! Da ist etwas auf dem Boden. Ist das ein Zettel?	¡Mira! Hay algo en el suelo. ¿Es una nota?
adv010801-09	player		Yes. Let me read it.	是的。让我读一读。	はい。読んでみます。	Ja. Lass mich ihn lesen.	Sí. Déjame leerla.
adv010801-10	narrator		You read the note. It is from Tom. He is in a cave.	你读了这张便条。是汤姆写的。他在一个山洞里。	メモを読みました。トムからです。洞窟にいます。	Ihr lest den Zettel. Er ist von Tom. Er ist in einer Höhle.	Leéis la nota. Es de Tom. Está en una cueva.
adv010801-11	emma		A cave! Which cave? There are many trees here.	一个山洞！哪个山洞？这里有很多树。	洞窟！どの洞窟ですか？ここは木がたくさんあります。	Eine Höhle! Welche Höhle? Hier gibt es viele Bäume.	¡Una cueva! ¿Qué cueva? Aquí hay muchos árboles.
adv010801-12	player		The note says he is near the river. Let us go to the river.	便条上说他在河边附近。我们去河边吧。	川の近くにいると書いてあります。川へ行きましょう。	Der Zettel sagt, er ist in der Nähe des Flusses. Lass uns zum Fluss gehen.	La nota dice que está cerca del río. Vamos al río.
adv010801-13	emma		Yes! The river is to the east. Let us go.	是的！河流在东边。我们走吧。	そうですね！川は東にあります。行きましょう。	Ja! Der Fluss ist im Osten. Lass uns gehen.	¡Sí! El río está al este. Vamos.
adv010801-14	narrator		You walk east. You can hear the sound of water.	你向东走。你能听到水声。	東へ歩きます。水の音が聞こえます。	Ihr geht östlich. Ihr könnt das Geräusch von Wasser hören.	Caminais hacia el este. Podéis escuchar el sonido del agua.
adv010801-15	emma		I can hear the river! We are close.	我能听到河流的声音！我们近了。	川の音が聞こえます！近いです。	Ich kann den Fluss hören! Wir sind nah.	¡Puedo escuchar el río! Estamos cerca.
adv010801-16	player		Yes. And look. There is a cave near the river.	是的。看。河边有一个山洞。	そうですね。見て。川の近くに洞窟があります。	Ja. Und schau. Da ist eine Höhle in der Nähe des Flusses.	Sí. Y mira. Hay una cueva cerca del río.

adv010801-17q	question		Where did you find Tom's note?	你在哪里找到汤姆的便条的？	トムのメモをどこで見つけましたか？	Wo habt ihr Toms Zettel gefunden?	¿Dónde encontrasteis la nota de Tom?
adv010801-18a	option	correct	On the ground in the forest.	在森林的地上。	森の地面です。	Auf dem Boden im Wald.	En el suelo del bosque.
adv010801-18b	option		In the cave.	在山洞里。	洞窟の中です。	In der Höhle.	En la cueva.
adv010801-18c	option		Near the river.	在河边附近。	川の近くです。	In der Nähe des Flusses.	Cerca del río.


# ── Dialogue 4: Finding Tom ───────────────────────────────────────────────────
